CELL_NAME,OP_STD,WK_PLANNED_HC,SCHEDULE_FACTOR
BSLCK-C17,B60A,9,103
BSLCK-C17,B60B,9,100
BSLCK-C17,B60C,9,108
BSLCK-C17,B60D,9,108
BSLCK-C17,B60E,9,100
BSLCK-C17,B60F,9,100
BSLCK-C17,B60G,9,100
BSLCK-C17,B60H,9,104
BSLCK-C17,B60I,9,100
BSLCK-C17,B60J,9,100
BSLCK-C17,B60R,9,100
BSLCK-C17,B80A,9,100
BSLCK-C13,B60A,9,103
BSLCK-C13,B60B,9,100
BSLCK-C13,B60C,9,108
BSLCK-C13,B60D,9,108
BSLCK-C13,B60E,9,100
BSLCK-C13,B60F,9,100
BSLCK-C13,B60G,9,100
BSLCK-C13,B60H,9,104
BSLCK-C13,B60I,9,100
BSLCK-C13,B60J,9,100
BSLCK-C13,B60R,9,100
BSLCK-C13,B80A,9,100
CONNECTC31,CNTA,9,74
CONNECTC31,CNTB,9,74
CONNECTC31,CNTC,9,74
CONNECTC31,CNTD,9,81
CONNECTC31,CNTE,9,95
CONTROL-C2,CTLA,8,90
CONTROL-C2,CTLB,8,90
CONTROL-C2,CTLC,8,90
CONTROL-C2,CTLD,8,90
CONTROL-C2,CTLE,8,90
CONTROL-C2,CTLF,8,90
CONTROL-C2,CTLA,5,59
CONTROL-C2,CTLB,5,59
CONTROL-C2,CTLC,5,59
CONTROL-C2,CTLD,5,59
CONTROL-C2,CTLE,5,59
CONTROL-C2,CTLF,5,59
DECO-C24,F10B,10,74
DECO-C24,F40A,10,86
DECO-C35,F10B,10,74
DECO-C35,F40A,10,86
F170-C16,170A,4,50
F170-C16,170B,4,50
F170-C16,170C,4,58
F170-C16,170D,4,57
F170-C16,170E,4,70
F170-C16,170F,4,70
F170-C16,170G,4,74
F170-C16,170H,4,122
F170-C16,170P,4,49
F40-C25,F402,9,93
F40-C25,F403,9,82
F40-C25,F404,9,82
F40-C25,F405,9,100
F40-C25,F406,9,82
F40-C25,F409,9,82
F40-C25,F430,9,88
F40-C25,F454,9,82
F40-C25,F455,9,82
F40-C25,F10B,9,59
F40-C25,F40A,9,71
F51-C22,F51A,9,121
F51-C22,F51B,9,108
F51-C22,F51C,9,101
F51-C22,F51G,9,100
F51-C22,F51H,9,112
F51-C22,F51Q,9,108
F51-C22,F51U,9,111
F51-C22,F51X,9,111
F51-C22,F51Y,9,111
F51-C30,F51A,7,50
F51-C30,F51B,7,50
F51-C30,F51C,7,50
F51-C30,F51G,7,50
F51-C30,F51H,7,50
F51-C30,F51Q,7,50
F51-C30,F51U,7,50
F51-C30,F51X,7,50
F51-C30,F51Y,7,50
FB-C21,FB15,13,129
FCUST-C29,FC01,3,24
FCUST-C29,FC03,3,24
FCUST-C29,FC04,3,28
FCUST-C29,FC05,3,67
FCUST-C29,FC06,3,56
FCUST-C29,FC07,3,63
FCUST-C29,FC08,3,61
FCUST-C29,FC77,3,59
FCUST-C29,FC09,3,52
FCUST-C29,FC10,3,47
FCUST-C29,FC11,3,120
FCUST-C29,FC12,3,180
FCUST-C29,FC13,3,128
FCUST-C29,FC14,3,89
FCUST-C29,FC15,3,149
FCUST-C29,FC16,3,114
FCUST-C29,FC01,5,45
FCUST-C29,FC03,5,45
FCUST-C29,FC04,5,52
FCUST-C29,FC05,5,124
FCUST-C29,FC06,5,103
FCUST-C29,FC07,5,118
FCUST-C29,FC08,5,113
FCUST-C29,FC77,5,109
FCUST-C29,FC09,5,75
FCUST-C29,FC10,5,67
FCUST-C29,FC11,5,172
FCUST-C29,FC12,5,258
FCUST-C29,FC13,5,183
FCUST-C29,FC14,5,128
FCUST-C29,FC15,5,214
FCUST-C29,FC16,5,163
FGRIP-C11,FGPM,12,113
NEXIA-C3,F575,9,73
NEXIA-C3,F595,9,73
TOUCH-C12,695F,8,62
TOUCH-C12,F375,8,58
TOUCH-C12,F376,8,58
TOUCH-C12,F695,8,58
TOUCH-C12,TCH1,8,58
TOUCH-C12,TCH2,8,58
TOUCH-C12,695F,8,58
HIOC-C34,H285,2,41
HIOC-C34,H58A,2,44
HIOC-C34,H58B,2,45
HIOC-C34,H59A,2,43
HIOC-C34,H59B,2,43
HIOC-C34,H60A,2,46
HIOC-C34,H60B,2,51
HIOC-C34,H92A,2,48
HIOC-C34,H92B,2,55
HIOC-C34,H93A,2,60
HIOC-C34,H93B,2,47
HIOC-C34,H94A,2,48
HIOC-C34,H94B,2,51
HIOC-C34,FGPM,2,19
HIOC-C34,FGPM,9,43
ADCO-C1,AD04,16,125
ADCO-C1,AD05,16,129
ADCO-C1,AD06,16,129
ADCO-C1,AD01,16,112
ADCO-C1,AD03,16,112
ADCO-C1,AD02,16,112
ADCO-C1,AD07,16,140
ADCO-C1,AD10,16,129
ADCO-C1,AD09,16,141
ADCO-C1,AD08,16,140
ADCO-C1,AD69,16,125
ADCO-C1,AD17,16,129
ADCO-C1,AD14,16,112
ADCO-C1,AD16,16,141
ADCO-C1,AD15,16,112
ADCO-C1,AD20,16,140
ADCO-C1,AD22,16,140
ADCO-C1,AD24,16,112
ADCO-C1,AD29,16,115
ADCO-C1,AD28,16,115
ADCO-C1,AD27,16,115
ADCO-C1,AD35,16,129
ADCO-C1,AD31,16,122
ADCO-C1,AD33,16,97
ADCO-C1,AD32,16,97
ADCO-C1,AD67,16,129
ADCO-C1,AD65,16,145
ADCO-C1,AD59,16,83
ADCO-C1,AD58,16,129
ADCO-C1,AD57,16,100
ADCO-C1,AD64,16,129
ADCO-C1,AD37,16,129
ADCO-C1,AD45,16,115
ADCO-C1,AD47,16,115
ADCO-C1,AD50,16,175
ADCO-C1,AD49,16,136
ADCO-C1,AD48,16,136
ADCO-C1,AD55,16,115
ADCO-C1,AD54,16,115
ADCO-C1,AD53,16,115
ADCO-C1,AD70,16,125
ADCO-C1,AD46,16,115
ADCO-C1,AD66,16,122
ADCO-C1,AD68,16,132
ADCO-C1,AD63,16,129
ADCO-C1,AD62,16,129
ADCO-C1,AD61,16,129
ADCO-C1,CO03,16,141
ADCO-C1,CO27,16,118
ADCO-C1,CO28,16,119
ADCO-C1,CO30,16,118
ADCO-C1,CO29,16,118
ADCO-C1,CO32,16,118
ADCO-C1,CO31,16,162
ADCO-C1,CO26,16,130
ADCO-C1,CO33,16,162
ADCO-C1,CO24,16,146
ADCO-C1,CO20,16,181
ADCO-C1,CM01,16,125
ADCO-C1,CO21,16,125
ADCO-C1,RDR1,16,125
ADCO-C1,RD01,16,125
ADCO-C1,RD02,16,125
ADCO-C1,PM01,16,125
ADCO-C1,AD60,16,69
ADCO-C1,AD13,16,125
ADCO-C1,AD12,16,125
ADCO-C1,AD11,16,125
ADCO-C1,AD25,16,125
ADCO-C1,CO02,16,121
ADCO-C1,CO25,16,144
ADCO-C1,AD26,16,125
ADCO-C1,CO23,16,178
ADCO-C1,CO01,16,116
ADCO-C1,CO19,16,144
ADCO-C1,CO18,16,144
ADCO-C1,CO04,16,159
ADCO-C1,CO06,16,127
ADCO-C1,CO05,16,127
ADCO-C1,CO12,16,144
ADCO-C1,CO11,16,144
ADCO-C1,CO10,16,144
ADCO-C1,CO09,16,147
ADCO-C1,CO08,16,178
ADCO-C1,CO07,16,127
ADCO-C1,CO15,16,178
ADCO-C1,CO14,16,178
ADCO-C1,CO13,16,178
ADCO-C1,CO17,16,178
ADCO-C1,CO16,16,178
ADCO-C1,WPR0,16,411
FB-C37,F50A,9,65
FB-C37,FB50,9,61
FB-C37,FB5C,9,83
FB-C37,F50A,12,54
FB-C37,FB50,12,50
FB-C37,FB5C,12,69
DENALI-C39,NCDA,11,125
DENALI-C39,NCDB,11,131
DENALI-C39,NCDE,11,77
