cell_name,OP_STD,wk_planned_hc,Routing,schedule_factor
BSLCK-C13,B60F,9,0.0352,100
BSLCK-C13,B60G,9,0.03323,100
BSLCK-C13,B60H,9,0.03244,104
BSLCK-C13,B60I,9,0.04373,100
BSLCK-C13,B60J,9,0.03046,100
BSLCK-C13,B60R,9,0.033641,100
BSLCK-C13,B80A,9,0.028421,100
CONTROL-C2,CTLA,5,0.12027,60
CONTROL-C2,CTLB,5,0.10075,60
CONTROL-C2,CTLC,5,0.110088,60
CONTROL-C2,CTLD,5,0.110134,60
CONTROL-C2,CTLE,5,0.110134,60
CONTROL-C2,CTLF,5,0.110134,60
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
F40-C23,F40E,8,0.02501,89
F40-C23,F40E,8,0.02501,89
F40-C25,F402,9,0.03585,89
F40-C25,F403,9,0.03229,82
F40-C25,F404,9,0.03286,82
F40-C25,F405,9,0.03674,100
F40-C25,F406,9,0.0312,82
F40-C25,F409,9,0.030075,82
F40-C25,F430,9,0.03294,87
F40-C25,F454,9,0.022233,82
F40-C25,F455,9,0.022233,82
F40-C26,F40E,8,0.02501,89
F40-C26,F40E,8,0.02501,89
F51-C22,F51A,9,0.02596,121
F51-C22,F51B,9,0.02567,100
F51-C22,F51C,9,0.023435,104
F51-C22,F51G,9,0.02763,115
F51-C22,F51H,9,0.02657,112
F51-C22,F51Q,9,0.029252,100
F51-C22,F51U,9,0.028451,111
F51-C22,F51X,9,0.029252,111
F51-C22,F51Y,9,0.029344,111
FB-C21,FB15,13,0.04791,129
FB-C37,F50A,9,0.043708,69
FB-C37,FB50,9,0.02,64
FB-C37,FB5C,9,0.045772,88
FB-C37,F50A,5,0.043708,34
FB-C37,FB50,5,0.02,32
FB-C37,FB5C,5,0.045772,44
FCUST-C29,FC01,7,0.014783,54
FCUST-C29,FC03,7,0.013889,54
FCUST-C29,FC04,7,0.0159,62
FCUST-C29,FC05,7,0.040021,148
FCUST-C29,FC06,7,0.03598,123
FCUST-C29,FC07,7,0.04291,141
FCUST-C29,FC08,7,0.03966,135
FCUST-C29,FC77,7,0.03921,130
FCUST-C28,FC09,2,0.0146,28
FCUST-C28,FC10,2,0.0112,31
FCUST-C28,FC11,2,0.03,47
FCUST-C28,FC12,2,0.025,84
FCUST-C28,FC13,2,0.0266,69
FCUST-C28,FC14,2,0.02067,58
FCUST-C28,FC15,2,0.032396,58
FCUST-C28,FC16,2,0.026233,53
FG-C18,FGPA,4,0.041342,69
FG-C18,FGPG,4,0.039433,68
FG-C188,FGPB,4,0.04171,61
FG-C188,FGPI,4,0.01863,45
HIOC-C34,H285,3,0.10299,69
HIOC-C34,H58A,3,0.07762,77
HIOC-C34,H58B,3,0.0708,79
HIOC-C34,H59A,3,0.10473,69
HIOC-C34,H59B,3,0.1052,69
HIOC-C34,H60A,3,0.12592,69
HIOC-C34,H60B,3,0.13543,76
HIOC-C34,H92A,3,0.06628,73
HIOC-C34,H92B,3,0.0761,84
HIOC-C34,H93A,3,0.11343,78
HIOC-C34,H93B,3,0.08593,61
HIOC-C34,H94A,3,0.057332,70
HIOC-C34,H94B,3,0.05742,75
FGRIP-C11,FGPJ,7,0.075635,81
FGRIP-C11,FGPK,7,0.083459,63
FGRIP-C11,FGPL,7,0.062466,77
FGRIP-C11,FGPM,7,0.07365,78
FGRIP-C11,FGPD,7,0.076513,55
NEXIA-C3,F595,11,0.099882,95
NEXIA-C3,F599,11,0.159341,94
SENSE-C9,479A,5,0.151254,68
SENSE-C9,479B,5,0.146774,68
SENSE-C9,CNTC,5,0.12392,50
SENSE-C9,CNTA,5,0.12859,50
SENSE-C9,CNTB,5,0.12492,50
FCUST-C28,170A,3,0.010647,36
FCUST-C28,170B,3,0.010959,36
FCUST-C28,170C,3,0.014349,47
FCUST-C28,170D,3,0.01387,46
FCUST-C28,170E,3,0.016739,57
FCUST-C28,170F,3,0.01673,57
FCUST-C28,170G,3,0.015965,53
FCUST-C28,170H,3,0.019943,89
FCUST-C28,170P,3,0.01114,36
CONNECTC31,CNTA,9,0.12859,85
CONNECTC31,CNTB,9,0.12492,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,ZGB1,9,0.12215,85
BSLCK-C17,B60A,9,0.02929,103
BSLCK-C17,B60B,9,0.0337,100
BSLCK-C17,B60C,9,0.032,106
BSLCK-C17,B60D,9,0.032,106
BSLCK-C17,B60E,9,0.0352,100
BSLCK-C17,B60F,9,0.0352,100
BSLCK-C17,B60G,9,0.03323,100
BSLCK-C17,B60H,9,0.03244,104
BSLCK-C17,B60I,9,0.04373,100
BSLCK-C17,B60J,9,0.03046,100
BSLCK-C17,B60R,9,0.033641,100
BSLCK-C17,B80A,9,0.028421,100
BSLCK-C13,B60A,9,0.02929,103
BSLCK-C13,B60B,9,0.0337,100
BSLCK-C13,B60C,9,0.032,108
BSLCK-C13,B60D,9,0.032,108
BSLCK-C13,B60E,9,0.0352,100
BSLCK-C13,B60F,9,0.0352,100
BSLCK-C13,B60G,9,0.03323,100
BSLCK-C13,B60H,9,0.03244,104
BSLCK-C13,B60I,9,0.04373,100
BSLCK-C13,B60J,9,0.03046,100
BSLCK-C13,B60R,9,0.033641,100
BSLCK-C13,B80A,9,0.028421,100
CONTROL-C2,CTLA,8,0.12027,90
CONTROL-C2,CTLB,8,0.10075,90
CONTROL-C2,CTLC,8,0.110088,90
CONTROL-C2,CTLD,8,0.110134,90
CONTROL-C2,CTLE,8,0.110134,90
CONTROL-C2,CTLF,8,0.110134,90
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
F40-C25,F402,9,0.03585,79
F40-C25,F403,9,0.03229,82
F40-C25,F404,9,0.03286,82
F40-C25,F405,9,0.03674,100
F40-C25,F406,9,0.0312,82
F40-C25,F409,9,0.030075,82
F40-C25,F430,9,0.03294,87
F40-C25,F454,9,0.022233,82
F40-C25,F455,9,0.022233,82
F51-C22,F51A,9,0.02596,121
F51-C22,F51B,9,0.02567,102
F51-C22,F51C,9,0.023435,101
F51-C22,F51G,9,0.02763,100
F51-C22,F51H,9,0.02657,112
F51-C22,F51Q,9,0.029252,108
F51-C22,F51U,9,0.028451,111
F51-C22,F51X,9,0.029252,111
F51-C22,F51Y,9,0.029344,111
FB-C21,FB15,13,0.04791,129
FB-C37,F50A,9,0.043708,73
FB-C37,FB50,9,0.02,67
FB-C37,FB5C,9,0.045772,93
FB-C37,F50A,5,0.043708,34
FB-C37,FB50,5,0.02,32
FB-C37,FB5C,5,0.045772,44
FCUST-C29,FC01,7,0.014783,54
FCUST-C29,FC03,7,0.013889,54
FCUST-C29,FC04,7,0.0159,62
FCUST-C29,FC05,7,0.040021,148
FCUST-C29,FC06,7,0.03598,123
FCUST-C29,FC07,7,0.04291,141
FCUST-C29,FC08,7,0.03966,135
FCUST-C29,FC77,7,0.03921,130
FCUST-C28,FC09,2,0.0146,28
FCUST-C28,FC10,2,0.0112,31
FCUST-C28,FC11,2,0.03,47
FCUST-C28,FC12,2,0.025,84
FCUST-C28,FC13,2,0.0266,69
FCUST-C28,FC14,2,0.02067,58
FCUST-C28,FC15,2,0.032396,58
FCUST-C28,FC16,2,0.026233,53
FG-C18,FGPA,4,0.041342,69
FG-C18,FGPG,4,0.039433,68
FG-C188,FGPB,4,0.04171,61
FG-C188,FGPI,4,0.01863,45
HIOC-C34,FC09,5,0.0146,74
HIOC-C34,FC10,5,0.0112,67
HIOC-C34,FC11,5,0.03,170
HIOC-C34,FC12,5,0.025,255
HIOC-C34,FC13,5,0.0266,181
HIOC-C34,FC14,5,0.02067,127
HIOC-C34,FC15,5,0.032396,211
HIOC-C34,FC16,5,0.026233,161
FCUST-C28,170A,4,0.010647,36
FCUST-C28,170B,4,0.010959,36
FCUST-C28,170C,4,0.014349,47
FCUST-C28,170D,4,0.01387,46
FCUST-C28,170E,4,0.016739,57
FCUST-C28,170F,4,0.01673,57
FCUST-C28,170G,4,0.015965,53
FCUST-C28,170H,4,0.019943,89
FCUST-C28,170P,4,0.01114,36
FGRIP-C11,FGPJ,7,0.075635,81
FGRIP-C11,FGPK,7,0.083459,63
FGRIP-C11,FGPL,7,0.062466,77
FGRIP-C11,FGPM,7,0.07365,78
FGRIP-C11,FGPD,7,0.076513,55
NEXIA-C3,F595,11,0.099882,95
NEXIA-C3,F599,11,0.159341,94
NEXIA-C3,F599,6,0.159341,21
NEXIA-C3,F595,6,0.099882,26
NEXIA-C3,KPDA,6,0.086686,26
SENSE-C9,479A,5,0.151254,68
SENSE-C9,479B,5,0.146774,68
SENSE-C9,CNTC,5,0.12392,50
SENSE-C9,CNTA,5,0.12859,50
SENSE-C9,CNTB,5,0.12492,50
CONNECTC31,CNTA,9,0.12859,85
CONNECTC31,CNTB,9,0.12492,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,ZGB1,9,0.12215,85
BSLCK-C17,B60A,9,0.02929,103
BSLCK-C17,B60B,9,0.0337,100
BSLCK-C17,B60C,9,0.032,108
BSLCK-C17,B60D,9,0.032,108
BSLCK-C17,B60E,9,0.0352,100
BSLCK-C17,B60F,9,0.0352,100
BSLCK-C17,B60G,9,0.03323,100
BSLCK-C17,B60H,9,0.03244,104
BSLCK-C17,B60I,9,0.04373,100
BSLCK-C17,B60J,9,0.03046,100
BSLCK-C17,B60R,9,0.033641,100
BSLCK-C17,B80A,9,0.028421,100
BSLCK-C17,B60A,4,0.02929,52
BSLCK-C17,B60B,4,0.0337,47
BSLCK-C17,B60C,4,0.032,54
BSLCK-C17,B60D,4,0.032,54
BSLCK-C17,B60E,4,0.0352,51
BSLCK-C17,B60F,4,0.0352,51
BSLCK-C17,B60G,4,0.03323,42
BSLCK-C17,B60H,4,0.03244,57
BSLCK-C17,B60I,4,0.04373,63
BSLCK-C17,B60J,4,0.03046,44
BSLCK-C17,B60R,4,0.033641,52
BSLCK-C17,B80A,4,0.028421,50
BSLCK-C13,B60A,9,0.02929,103
BSLCK-C13,B60B,9,0.0337,100
BSLCK-C13,B60C,9,0.032,108
BSLCK-C13,B60D,9,0.032,108
BSLCK-C13,B60E,9,0.0352,100
BSLCK-C13,B60F,9,0.0352,100
BSLCK-C13,B60G,9,0.03323,100
BSLCK-C13,B60H,9,0.03244,104
BSLCK-C13,B60I,9,0.04373,100
BSLCK-C13,B60J,9,0.03046,100
BSLCK-C13,B60R,9,0.033641,100
BSLCK-C13,B80A,9,0.028421,100
CONTROL-C2,CTLA,8,0.12027,90
CONTROL-C2,CTLB,8,0.10075,90
CONTROL-C2,CTLC,8,0.110088,90
CONTROL-C2,CTLD,8,0.110134,90
CONTROL-C2,CTLE,8,0.110134,90
CONTROL-C2,CTLF,8,0.110134,90
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
F40-C25,F402,9,0.03585,79
F40-C25,F403,9,0.03229,82
F40-C25,F404,9,0.03286,82
F40-C25,F405,9,0.03674,100
F40-C25,F406,9,0.0312,82
F40-C25,F409,9,0.030075,82
F40-C25,F430,9,0.03294,87
F40-C25,F454,9,0.022233,82
F40-C25,F455,9,0.022233,82
F51-C22,F51A,9,0.02596,121
F51-C22,F51B,9,0.02567,104
F51-C22,F51C,9,0.023435,101
F51-C22,F51G,9,0.02763,100
F51-C22,F51H,9,0.02657,112
F51-C22,F51Q,9,0.029252,108
F51-C22,F51U,9,0.028451,111
F51-C22,F51X,9,0.029252,111
F51-C22,F51Y,9,0.029344,111
FB-C21,FB15,13,0.04791,129
FB-C37,F50A,9,0.043708,73
FB-C37,FB50,9,0.02,67
FB-C37,FB5C,9,0.045772,93
FB-C37,F50A,5,0.043708,34
FB-C37,FB50,5,0.02,32
FB-C37,FB5C,5,0.045772,44
FCUST-C29,FC01,7,0.014783,54
FCUST-C29,FC03,7,0.013889,54
FCUST-C29,FC04,7,0.0159,62
FCUST-C29,FC05,7,0.040021,148
FCUST-C29,FC06,7,0.03598,123
FCUST-C29,FC07,7,0.04291,141
FCUST-C29,FC08,7,0.03966,135
FCUST-C29,FC77,7,0.03921,130
FCUST-C28,FC09,2,0.0146,28
FCUST-C28,FC10,2,0.0112,31
FCUST-C28,FC11,2,0.03,47
FCUST-C28,FC12,2,0.025,84
FCUST-C28,FC13,2,0.0266,69
FCUST-C28,FC14,2,0.02067,58
FCUST-C28,FC15,2,0.032396,58
FCUST-C28,FC16,2,0.026233,53
FG-C18,FGPA,4,0.041342,69
FG-C18,FGPG,4,0.039433,68
FG-C188,FGPB,4,0.04171,61
FG-C188,FGPI,4,0.01863,45
HIOC-C34,FC09,5,0.0146,74
HIOC-C34,FC10,5,0.0112,67
HIOC-C34,FC11,5,0.03,170
HIOC-C34,FC12,5,0.025,255
HIOC-C34,FC13,5,0.0266,181
HIOC-C34,FC14,5,0.02067,127
HIOC-C34,FC15,5,0.032396,211
HIOC-C34,FC16,5,0.026233,161
FCUST-C28,170A,4,0.010647,36
FCUST-C28,170B,4,0.010959,36
FCUST-C28,170C,4,0.014349,47
FCUST-C28,170D,4,0.01387,46
FCUST-C28,170E,4,0.016739,57
FCUST-C28,170F,4,0.01673,57
FCUST-C28,170G,4,0.015965,53
FCUST-C28,170H,4,0.019943,89
FCUST-C28,170P,4,0.01114,36
FGRIP-C11,FGPJ,7,0.075635,81
FGRIP-C11,FGPK,7,0.083459,63
FGRIP-C11,FGPL,7,0.062466,77
FGRIP-C11,FGPM,7,0.07365,78
FGRIP-C11,FGPD,7,0.076513,55
NEXIA-C3,F595,11,0.099882,95
NEXIA-C3,F599,11,0.159341,94
NEXIA-C3,F599,6,0.159341,21
NEXIA-C3,F595,6,0.099882,26
NEXIA-C3,KPDA,6,0.086686,26
SENSE-C9,479A,5,0.151254,68
SENSE-C9,479B,5,0.146774,68
SENSE-C9,CNTC,5,0.12392,50
SENSE-C9,CNTA,5,0.12859,50
SENSE-C9,CNTB,5,0.12492,50
CONNECTC31,CNTA,9,0.12859,85
CONNECTC31,CNTB,9,0.12492,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,ZGB1,9,0.12215,85
BSLCK-C17,B60A,9,0.02929,103
BSLCK-C17,B60B,9,0.0337,100
BSLCK-C17,B60C,9,0.032,108
BSLCK-C17,B60D,9,0.032,108
BSLCK-C17,B60E,9,0.0352,100
BSLCK-C17,B60F,9,0.0352,100
BSLCK-C17,B60G,9,0.03323,100
BSLCK-C17,B60H,9,0.03244,104
BSLCK-C17,B60I,9,0.04373,100
BSLCK-C17,B60J,9,0.03046,100
BSLCK-C17,B60R,9,0.033641,100
BSLCK-C17,B80A,9,0.028421,100
BSLCK-C17,B60A,4,0.02929,26
BSLCK-C17,B60B,4,0.0337,26
BSLCK-C17,B60C,4,0.032,23
BSLCK-C17,B60D,4,0.032,23
BSLCK-C17,B60E,4,0.0352,20
BSLCK-C17,B60F,4,0.0352,20
BSLCK-C17,B60G,4,0.03323,19
BSLCK-C17,B60H,4,0.03244,25
BSLCK-C17,B60I,4,0.04373,49
BSLCK-C17,B60J,4,0.03046,23
BSLCK-C17,B60R,4,0.033641,28
BSLCK-C17,B80A,4,0.028421,23
BSLCK-C13,B60A,9,0.02929,103
BSLCK-C13,B60B,9,0.0337,100
BSLCK-C13,B60C,9,0.032,108
BSLCK-C13,B60D,9,0.032,108
BSLCK-C13,B60E,9,0.0352,100
BSLCK-C13,B60F,9,0.0352,100
BSLCK-C13,B60G,9,0.03323,100
BSLCK-C13,B60H,9,0.03244,104
BSLCK-C13,B60I,9,0.04373,100
BSLCK-C13,B60J,9,0.03046,100
BSLCK-C13,B60R,9,0.033641,100
BSLCK-C13,B80A,9,0.028421,100
CONTROL-C2,CTLA,8,0.12027,90
CONTROL-C2,CTLB,8,0.10075,90
CONTROL-C2,CTLC,8,0.110088,90
CONTROL-C2,CTLD,8,0.110134,90
CONTROL-C2,CTLE,8,0.110134,90
CONTROL-C2,CTLF,8,0.110134,90
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
F40-C25,F402,9,0.03585,79
F40-C25,F403,9,0.03229,82
F40-C25,F404,9,0.03286,82
F40-C25,F405,9,0.03674,100
F40-C25,F406,9,0.0312,82
F40-C25,F409,9,0.030075,82
F40-C25,F430,9,0.03294,87
F40-C25,F454,9,0.022233,82
F40-C25,F455,9,0.022233,82
F51-C22,F51A,9,0.02596,121
F51-C22,F51B,9,0.02567,106
F51-C22,F51C,9,0.023435,101
F51-C22,F51G,9,0.02763,100
F51-C22,F51H,9,0.02657,112
F51-C22,F51Q,9,0.029252,108
F51-C22,F51U,9,0.028451,111
F51-C22,F51X,9,0.029252,111
F51-C22,F51Y,9,0.029344,111
FB-C21,FB15,13,0.04791,129
FB-C37,F50A,9,0.043708,73
FB-C37,FB50,9,0.02,67
FB-C37,FB5C,9,0.045772,93
FB-C37,F50A,5,0.043708,34
FB-C37,FB50,5,0.02,32
FB-C37,FB5C,5,0.045772,44
FCUST-C29,FC01,7,0.014783,54
FCUST-C29,FC03,7,0.013889,54
FCUST-C29,FC04,7,0.0159,62
FCUST-C29,FC05,7,0.040021,148
FCUST-C29,FC06,7,0.03598,123
FCUST-C29,FC07,7,0.04291,141
FCUST-C29,FC08,7,0.03966,135
FCUST-C29,FC77,7,0.03921,130
FCUST-C28,FC09,2,0.0146,28
FCUST-C28,FC10,2,0.0112,31
FCUST-C28,FC11,2,0.03,47
FCUST-C28,FC12,2,0.025,84
FCUST-C28,FC13,2,0.0266,69
FCUST-C28,FC14,2,0.02067,58
FCUST-C28,FC15,2,0.032396,58
FCUST-C28,FC16,2,0.026233,53
FG-C18,FGPA,4,0.041342,69
FG-C18,FGPG,4,0.039433,68
FG-C188,FGPB,4,0.04171,61
FG-C188,FGPI,4,0.01863,45
HIOC-C34,FC09,5,0.0146,74
HIOC-C34,FC10,5,0.0112,67
HIOC-C34,FC11,5,0.03,170
HIOC-C34,FC12,5,0.025,255
HIOC-C34,FC13,5,0.0266,181
HIOC-C34,FC14,5,0.02067,127
HIOC-C34,FC15,5,0.032396,211
HIOC-C34,FC16,5,0.026233,161
FCUST-C28,170A,4,0.010647,36
FCUST-C28,170B,4,0.010959,36
FCUST-C28,170C,4,0.014349,47
FCUST-C28,170D,4,0.01387,46
FCUST-C28,170E,4,0.016739,57
FCUST-C28,170F,4,0.01673,57
FCUST-C28,170G,4,0.015965,53
FCUST-C28,170H,4,0.019943,89
FCUST-C28,170P,4,0.01114,36
FGRIP-C11,FGPJ,7,0.075635,81
FGRIP-C11,FGPK,7,0.083459,63
FGRIP-C11,FGPL,7,0.062466,77
FGRIP-C11,FGPM,7,0.07365,78
FGRIP-C11,FGPD,7,0.076513,55
NEXIA-C3,F595,11,0.099882,95
NEXIA-C3,F599,11,0.159341,94
NEXIA-C3,F599,6,0.159341,21
NEXIA-C3,F595,6,0.099882,26
NEXIA-C3,KPDA,6,0.086686,26
SENSE-C9,479A,5,0.151254,68
SENSE-C9,479B,5,0.146774,68
SENSE-C9,CNTC,5,0.12392,50
SENSE-C9,CNTA,5,0.12859,50
SENSE-C9,CNTB,5,0.12492,50
CONNECTC31,CNTA,9,0.12859,85
CONNECTC31,CNTB,9,0.12492,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,CNTC,9,0.12392,85
CONNECTC31,ZGB1,9,0.12215,85
BSLCK-C17,B60A,9,0.02929,103
BSLCK-C17,B60B,9,0.0337,100
BSLCK-C17,B60C,9,0.032,108
BSLCK-C17,B60D,9,0.032,108
BSLCK-C17,B60E,9,0.0352,100
BSLCK-C17,B60F,9,0.0352,100
BSLCK-C17,B60G,9,0.03323,100
BSLCK-C17,B60H,9,0.03244,104
BSLCK-C17,B60I,9,0.04373,100
BSLCK-C17,B60J,9,0.03046,100
BSLCK-C17,B60R,9,0.033641,100
BSLCK-C17,B80A,9,0.028421,100
BSLCK-C17,B60A,4,0.02929,26
BSLCK-C17,B60B,4,0.0337,26
BSLCK-C17,B60C,4,0.032,23
BSLCK-C17,B60D,4,0.032,23
BSLCK-C17,B60E,4,0.0352,20
BSLCK-C17,B60F,4,0.0352,20
BSLCK-C17,B60G,4,0.03323,19
BSLCK-C17,B60H,4,0.03244,25
BSLCK-C17,B60I,4,0.04373,49
BSLCK-C17,B60J,4,0.03046,23
BSLCK-C17,B60R,4,0.033641,28
BSLCK-C17,B80A,4,0.028421,23
BSLCK-C13,B60A,9,0.02929,103
BSLCK-C13,B60B,9,0.0337,100
BSLCK-C13,B60C,9,0.032,108
BSLCK-C13,B60D,9,0.032,108
BSLCK-C13,B60E,9,0.0352,100
BSLCK-C13,B60F,9,0.0352,100
BSLCK-C13,B60G,9,0.03323,100
BSLCK-C13,B60H,9,0.03244,104
BSLCK-C13,B60I,9,0.04373,100
BSLCK-C13,B60J,9,0.03046,100
BSLCK-C13,B60R,9,0.033641,100
BSLCK-C13,B80A,9,0.028421,100
CONTROL-C2,CTLA,8,0.12027,90
CONTROL-C2,CTLB,8,0.10075,90
CONTROL-C2,CTLC,8,0.110088,90
CONTROL-C2,CTLD,8,0.110134,90
CONTROL-C2,CTLE,8,0.110134,90
CONTROL-C2,CTLF,8,0.110134,90
DENALI-C39,NCDA,11,0.1482,125
DENALI-C39,NCDB,11,0.1482,131
DENALI-C39,NCDE,11,0.1126,77
F40-C25,F402,9,0.03585,90
